Rule                                                   | Time (ms) | Relative
:------------------------------------------------------|----------:|--------:
node/no-deprecated-api                                 |   226.177 |     8.5%
keyword-spacing                                        |   121.256 |     4.6%
no-redeclare                                           |   116.199 |     4.4%
no-extra-parens                                        |    92.703 |     3.5%
camelcase                                              |    75.986 |     2.9%
space-in-parens                                        |    58.907 |     2.2%
object-curly-spacing                                   |    56.691 |     2.1%
id-match                                               |    44.429 |     1.7%
object-shorthand                                       |    38.582 |     1.5%
no-whitespace-before-property                          |    37.121 |     1.4%
no-unmodified-loop-condition                           |    36.867 |     1.4%
@typescript-eslint/ban-types                           |    35.266 |     1.3%
@angular-eslint/directive-selector                     |    35.210 |     1.3%
func-call-spacing                                      |    35.043 |     1.3%
@typescript-eslint/no-loss-of-precision                |    34.765 |     1.3%
@typescript-eslint/no-shadow                           |    34.693 |     1.3%
no-useless-return                                      |    33.949 |     1.3%
@angular-eslint/no-empty-lifecycle-method              |    32.162 |     1.2%
one-var                                                |    31.564 |     1.2%
no-multiple-empty-lines                                |    31.560 |     1.2%
no-invalid-this                                        |    31.325 |     1.2%
standard/object-curly-even-spacing                     |    30.637 |     1.2%
comma-style                                            |    30.428 |     1.1%
no-extend-native                                       |    29.507 |     1.1%
@typescript-eslint/quotes                              |    29.376 |     1.1%
padded-blocks                                          |    26.400 |     1.0%
space-infix-ops                                        |    26.183 |     1.0%
@typescript-eslint/adjacent-overload-signatures        |    26.072 |     1.0%
operator-linebreak                                     |    25.897 |     1.0%
comma-spacing                                          |    25.489 |     1.0%
no-trailing-spaces                                     |    25.370 |     1.0%
no-multi-spaces                                        |    24.954 |     0.9%
@typescript-eslint/semi                                |    24.277 |     0.9%
@typescript-eslint/no-inferrable-types                 |    23.601 |     0.9%
import/no-webpack-loader-syntax                        |    23.227 |     0.9%
no-regex-spaces                                        |    22.678 |     0.9%
no-obj-calls                                           |    22.031 |     0.8%
@typescript-eslint/triple-slash-reference              |    22.016 |     0.8%
no-unreachable                                         |    20.646 |     0.8%
@typescript-eslint/consistent-type-assertions          |    19.002 |     0.7%
block-spacing                                          |    18.484 |     0.7%
no-unexpected-multiline                                |    18.356 |     0.7%
key-spacing                                            |    18.018 |     0.7%
@typescript-eslint/unified-signatures                  |    17.523 |     0.7%
space-before-blocks                                    |    16.831 |     0.6%
no-dupe-keys                                           |    16.679 |     0.6%
